1	国际维吾尔青年联盟		0	维稳类/藏独疆独台独	2				2019-09-12 16:08:00
2	世界维吾尔青年联盟		0	维稳类/藏独疆独台独	2				2019-09-12 16:08:00
3	世界维吾尔青年代表大会		0	维稳类/藏独疆独台独	2				2019-09-12 16:08:00
4	游蕙祯		0	维稳类/藏独疆独台独	2				2019-09-12 16:08:00
5	雪山狮子旗		0	维稳类/藏独疆独台独	2				2019-09-12 16:08:00
6	戴耀廷		0	维稳类/藏独疆独台独	2				2019-09-12 16:08:00
7	黄之锋		0	维稳类/藏独疆独台独	2				2019-09-12 16:08:00
8	买买提明·艾孜来提		0	维稳类/藏独疆独台独	2				2019-09-12 16:08:00
9	太子		0	维稳类/政治性有害出版物	2		毛岸英		2019-09-12 16:08:00
10	罗冠聪		0	维稳类/藏独疆独台独	2				2019-09-12 16:08:00
11	周永康		0	维稳类/藏独疆独台独	2				2019-09-12 16:08:00
12	世界东突青年代表大会		0	维稳类/藏独疆独台独	2				2019-09-12 16:08:00
13	陈浩天		0	维稳类/藏独疆独台独	2				2019-09-12 16:08:00
14	东突厥斯坦青年联盟		0	维稳类/藏独疆独台独	2				2019-09-12 16:08:00
15	阿不都沙拉木		0	维稳类/藏独疆独台独	2				2019-09-12 16:08:00
16	梁颂恒		0	维稳类/藏独疆独台独	2				2019-09-12 16:08:00
17	《撑起雨伞》		0	维稳类/藏独疆独台独	2				2019-09-12 16:08:00
18	雨伞运动		0	维稳类/藏独疆独台独	2				2019-09-12 16:08:00
19	多里坤·艾沙		0	维稳类/藏独疆独台独	2				2019-09-12 16:08:00
20	吾买尔·卡那提		0	维稳类/藏独疆独台独	2				2019-09-12 16:08:00
21	党旗		0	非民用相关/警用品	3				2019-09-12 14:37:00
22	邓矮子		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
23	续一秒		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
24	太祖		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
25	稻上飞人		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
26	包子帝		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
27	邓比特人		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
28	朱棺材		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
29	修宪		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
30	习包子		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
31	刘修养		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
32	蛋炒饭		0	维稳类/政治性有害出版物	2		毛岸英		2019-09-12 11:19:00
33	李二		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
34	习武帝		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
35	时空门后二十年		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
36	毛腊肉		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
37	拉萨之虎		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
38	笑贫天尊		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
39	刘晓波		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
40	零八宪章		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
41	黑山老妖		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
42	诺贝尔奖		0	维稳类/政治性有害出版物	2		空椅子,刘晓波		2019-09-12 11:19:00
43	诺贝儿和平奖		0	维稳类/政治性有害出版物	2		空椅子,刘晓波		2019-09-12 11:19:00
44	王立铭		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
45	变态辣椒		0	维稳类/政治性有害出版物	2		王立铭		2019-09-12 11:19:00
46	庆丰帝		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
47	08宪章		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
48	续命		0	维稳类/政治性有害出版物	2				2019-09-12 11:19:00
